Make,Model,CO2 Emissions(g/km)
CHEVROLET,EXPRESS 2500 PASSENGER FFV,432
CHEVROLET,EXPRESS 3500 PASSENGER FFV,437
CHRYSLER,200,196
CHRYSLER,200 FFV,196
CHRYSLER,200 AWD,246
CHRYSLER,200 AWD FFV,246
DODGE,CHALLENGER SRT HELLCAT,338
DODGE,CHARGER SRT 392 HEMI,297
DODGE,CHARGER SRT HELLCAT,338
DODGE,VIPER SRT COUPE,363
FIAT,500L,216
FORD,EDGE (Start/Stop),225
FORD,EDGE SPORT AWD,274
FORD,EXPEDITION 4X4,327
FORD,EXPEDITION MAX 4X4,331
FORD,EXPLORER AWD (EcoBoost),299
FORD,T-150 WAGON,338
FORD,T-150 WAGON FFV,340
FORD,TRANSIT CONNECT VAN,216
FORD,TRANSIT CONNECT WAGON TAXI,239
GMC,CANYON,242
GMC,CANYON 4WD,260
GMC,SAVANA 2500 PASSENGER FFV,432
GMC,SAVANA 3500 PASSENGER FFV,437
GMC,TERRAIN FFV,209
GMC,YUKON DENALI 4WD,322
GMC,YUKON XL DENALI 4WD,334
HONDA,CIVIC Si,216
HONDA,CIVIC HYBRID,120
HONDA,PILOT 4WD,276
HYUNDAI,ELANTRA,172
HYUNDAI,ELANTRA COUPE,191
HYUNDAI,GENESIS AWD,278
HYUNDAI,GENESIS COUPE,283
HYUNDAI,SANTA FE AWD,264
HYUNDAI,SANTA FE SPORT AWD,264
HYUNDAI,SANTA FE ULTIMATE AWD,287
HYUNDAI,SONATA SPORT/LIMITED,193
HYUNDAI,TUCSON AWD,239
INFINITI,Q60,246
INFINITI,Q60 AWD,264
JAGUAR,F-TYPE COUPE,237
JAGUAR,F-TYPE S COUPE,244
JAGUAR,F-TYPE V8 R COUPE,294
JAGUAR,XF AWD,267
JEEP,CHEROKEE FFV,218
JEEP,CHEROKEE 4X4 FFV,230
JEEP,RENEGADE,202
JEEP,RENEGADE FFV,216
JEEP,RENEGADE 4X4,202
JEEP,WRANGLER 4X4,294
JEEP,WRANGLER UNLIMITED 4X4,308
KIA,K900,260
KIA,SEDONA SX,262
KIA,SEDONA SXL,288
KIA,SORENTO AWD,251
LAMBORGHINI,AVENTADOR ROADSTER,453
LAMBORGHINI,HURACAN,334
LAMBORGHINI,VENENO ROADSTER,423
LAND ROVER,RANGE ROVER,283
LAND ROVER,RANGE ROVER SUPERCHARGED,347
LAND ROVER,RANGE ROVER SUPERCHARGED LWB,347
LAND ROVER,RANGE ROVER SPORT,285
LAND ROVER,RANGE ROVER SPORT SUPERCHARGED,338
LEXUS,NX 200t AWD,221
LEXUS,NX 200t AWD F SPORT,228
LEXUS,NX 300h AWD,170
LEXUS,RC 350,244
LEXUS,RC 350 AWD,253
LEXUS,RC F,290
LINCOLN,MKC AWD,251
LINCOLN,NAVIGATOR 4X4,327
LINCOLN,NAVIGATOR L 4X4,331
MERCEDES-BENZ,B 250 4MATIC,205
MERCEDES-BENZ,C 300 4MATIC,207
MERCEDES-BENZ,C 400 4MATIC,228
MERCEDES-BENZ,CLA 250 4MATIC,202
MERCEDES-BENZ,CLA 45 AMG,209
MERCEDES-BENZ,CLS 400 4MATIC,242
MERCEDES-BENZ,E 400 4MATIC,239
MERCEDES-BENZ,E 400 4MATIC WAGON,248
MERCEDES-BENZ,E 400 CABRIOLET,230
MERCEDES-BENZ,E 400 COUPE,235
MERCEDES-BENZ,GLA 250 4MATIC,200
MERCEDES-BENZ,GLA 45 AMG 4MATIC,216
MERCEDES-BENZ,ML 400 4MATIC,276
MERCEDES-BENZ,S 400 4MATIC,248
MERCEDES-BENZ,S 550 4MATIC COUPE,283
MERCEDES-BENZ,S 600,343
MERCEDES-BENZ,S 63 AMG COUPE,304
MERCEDES-BENZ,S 65 AMG,357
MERCEDES-BENZ,S 65 AMG COUPE,345
MERCEDES-BENZ,SLS AMG GT ROADSTER,359
MINI,COOPER 3 DOOR,172
MINI,COOPER 5 DOOR,172
MINI,COOPER S 3 DOOR,189
MINI,COOPER S 5 DOOR,189
MINI,JOHN COOPER WORKS,193
NISSAN,370Z COUPE,255
NISSAN,JUKE NISMO RS,191
NISSAN,JUKE NISMO RS AWD,202
NISSAN,MICRA,179
NISSAN,MURANO,225
NISSAN,PATHFINDER 4WD PLATINUM,253
PORSCHE,911 CARRERA 4 GTS,255
PORSCHE,911 CARRERA 4 GTS CABRIOLET,262
PORSCHE,911 CARRERA GTS,253
PORSCHE,911 CARRERA GTS CABRIOLET,255
PORSCHE,911 TARGA 4,248
PORSCHE,911 TARGA 4S,258
PORSCHE,BOXSTER GTS,218
PORSCHE,CAYMAN GTS,218
PORSCHE,MACAN S,281
PORSCHE,MACAN TURBO,283
PORSCHE,PANAMERA TURBO S,294
PORSCHE,PANAMERA TURBO S EXECUTIVE,297
RAM,1500,274
RAM,1500 ECODIESEL,273
RAM,1500 ECODIESEL HFE,265
RAM,1500 4X4,290
RAM,1500 4X4 ECODIESEL,286
RAM,PROMASTER CITY,225
SUBARU,WRX,255
TOYOTA,4RUNNER 4WD (Part-Time 4WD),294
TOYOTA,RAV4 LE/XLE,205
VOLKSWAGEN,GOLF,186
VOLKSWAGEN,GOLF TDI (modified),177
VOLKSWAGEN,GOLF GTI,196
VOLKSWAGEN,GOLF SPORTWAGON,193
VOLKSWAGEN,GOLF SPORTWAGON TDI (modified),180
VOLKSWAGEN,JETTA HYBRID,122
VOLVO,S60 POLESTAR AWD,253
VOLVO,S60 T5 ,193
VOLVO,S60 T5 AWD,232
VOLVO,S60 T6   ,205
VOLVO,S60 T6 AWD,258
VOLVO,S80 T5,193
VOLVO,S80 T6 AWD,258
VOLVO,V60 CC,202
VOLVO,V60 CC AWD,237
VOLVO,V60 POLESTAR AWD,253
VOLVO,V60 T5,193
VOLVO,V60 T5 AWD,232
VOLVO,V60 T6 AWD,258
VOLVO,XC60 3.2 AWD,264
VOLVO,XC60 T5,202
VOLVO,XC60 T5 AWD,262
VOLVO,XC60 T6  ,216
VOLVO,XC60 T6 AWD,274
VOLVO,XC70 3.2 AWD,260
VOLVO,XC70 T5,202
VOLVO,XC70 T6 AWD,274
ACURA,MDX SH-AWD ELITE,251
ASTON MARTIN,DB9 GT,365
AUDI,A8 QUATTRO,247
AUDI,A8 QUATTRO TDI (modified),224
AUDI,A8L QUATTRO,255
AUDI,Q5 QUATTRO,244
AUDI,Q5 QUATTRO TDI (modified),244
AUDI,Q5 HYBRID QUATTRO,209
AUDI,RS 7 QUATTRO,313
AUDI,S3 QUATTRO,211
AUDI,S4 QUATTRO,257
AUDI,S5 QUATTRO,257
AUDI,S5 CABRIOLET QUATTRO,266
AUDI,S6 QUATTRO,263
AUDI,S7 QUATTRO,265
AUDI,S8 QUATTRO,300
AUDI,SQ5 QUATTRO,285
BMW,228i,197
BMW,228i xDRIVE,207
BMW,340i,217
BMW,340i xDRIVE,216
BMW,M2,244
BMW,M235i,232
BMW,M235i xDRIVE,238
BMW,M235i xDRIVE CABRIOLET,238
BMW,M3,284
BMW,X4 M40i,264
BUICK,ENCORE SPORT TOURING,182
BUICK,ENCORE SPORT TOURING AWD,192
BUICK,ENVISION AWD,248
BUICK,LACROSSE FFV,268
BUICK,LACROSSE AWD FFV,274
CADILLAC,ATS-V,293
CADILLAC,CT6,222
CADILLAC,CT6 AWD,263
CADILLAC,CTS-V,332
CHEVROLET,CRUZE PREMIER,160
CHEVROLET,CRUZE LIMITED,184
CHEVROLET,CRUZE LIMITED ECO,181
CHEVROLET,IMPALA FFV,248
CHEVROLET,IMPALA DUAL FUEL,272
CHEVROLET,MALIBU LIMITED,202
CHEVROLET,MALIBU HYBRID,122
CHEVROLET,SILVERADO FFV,280
CHEVROLET,SILVERADO 4WD FFV,296
CHEVROLET,SILVERADO eASSIST 4WD,304
CHEVROLET,SUBURBAN FFV,304
CHEVROLET,SUBURBAN 4WD FFV,312
CHEVROLET,TAHOE FFV,304
CHEVROLET,TAHOE 4WD FFV,310
CHEVROLET,TRAX 4WD,205
DODGE,DURANGO AWD,265
DODGE,VIPER SRT,364
FIAT,500X,194
FIAT,500X AWD,224
FORD,EXPEDITION EL 4X4,338
FORD,F-150 (Payload Pkg),263
FORD,F-150 FFV (Payload Pkg),341
FORD,F-150 4X4 (Payload Pkg),288
FORD,F-150 FFV 4X4 (Payload Pkg),347
FORD,FLEX AWD GTDI,322
FORD,FOCUS RS AWD,255
FORD,FOCUS ST,217
FORD,SHELBY GT350 MUSTANG,334
FORD,TRANSIT CONNECT VAN FFV,243
FORD,TRANSIT CONNECT WAGON FFV,252
FORD,TRANSIT CONNECT WAGON LWB,252
FORD,TRANSIT CONNECT WAGON LWB FFV,252
GMC,SIERRA FFV,280
GMC,SIERRA 4WD FFV,296
GMC,SIERRA eASSIST 4WD,304
GMC,YUKON FFV,304
GMC,YUKON 4WD FFV,310
GMC,YUKON XL FFV,304
GMC,YUKON XL 4WD FFV,312
HONDA,ACCORD COUPE,223
HONDA,ACCORD SEDAN,177
HONDA,ACCORD SPORT,187
HONDA,CIVIC COUPE,155
HONDA,CIVIC SEDAN,157
HONDA,HR-V,177
HONDA,HR-V AWD,190
INFINITI,Q50S AWD,262
INFINITI,Q50S RED SPORT,247
INFINITI,Q50S RED SPORT AWD,256
JAGUAR,F-TYPE PROJECT 7 CONVERTIBLE,302
JAGUAR,F-TYPE R AWD CONVERTIBLE,311
JAGUAR,F-TYPE R AWD COUPE,311
JAGUAR,F-TYPE S CONVERTIBLE AWD,264
JAGUAR,F-TYPE S COUPE AWD,264
JAGUAR,XF AWD ,241
JAGUAR,XJ R-SPORT 3.0 AWD,275
JAGUAR,XJL 3.0 AWD PORTFOLIO,279
JEEP,GRAND CHEROKEE 4X4,265
LAMBORGHINI,HURACAN SPYDER,340
LAND ROVER,DISCOVERY SPORT,248
LAND ROVER,RANGE ROVER TD6 DIESEL,254
LAND ROVER,RANGE ROVER SPORT TD6 DIESEL,254
LEXUS,GS 200t,212
LEXUS,GS 200t F SPORT,227
LEXUS,GS 350 F SPORT,251
LEXUS,GS F,293
LEXUS,IS 200t,212
LEXUS,IS 300 AWD,258
LEXUS,RC 200t,214
LEXUS,RC 300 AWD,258
MASERATI,GHIBLI S,293
MASERATI,GHIBLI SQ4,295
MASERATI,QUATTROPORTE S,300
MAZDA,CX-3,179
MAZDA,CX-3 4WD,189
MAZDA,CX-5 (SIL),188
MAZDA,MAZDA6 (SIL),188
MAZDA,MX-5 (SIL),183
MERCEDES-BENZ,AMG C 63,268
MERCEDES-BENZ,AMG C 63 S,268
MERCEDES-BENZ,AMG CLA 45,214
MERCEDES-BENZ,AMG CLS 63 S 4MATIC,308
MERCEDES-BENZ,AMG E 63 S 4MATIC,310
MERCEDES-BENZ,AMG E 63 S 4MATIC WAGON,310
MERCEDES-BENZ,AMG G 63,417
MERCEDES-BENZ,AMG G 65,476
MERCEDES-BENZ,AMG GL 63 S,369
MERCEDES-BENZ,AMG GLA 45,216
MERCEDES-BENZ,AMG GLE 63 S 4MATIC,366
MERCEDES-BENZ,AMG GLE 63 S COUPE 4MATIC,363
MERCEDES-BENZ,AMG GT S,303
MERCEDES-BENZ,AMG S 63,313
MERCEDES-BENZ,AMG S 63 COUPE,313
MERCEDES-BENZ,AMG S 65,361
MERCEDES-BENZ,AMG S 65 COUPE,355
MERCEDES-BENZ,AMG SL 63,298
MERCEDES-BENZ,AMG SL 65,335
MERCEDES-BENZ,AMG SLK 55,252
MERCEDES-BENZ,C 450 AMG SPORT 4MATIC,231
MERCEDES-BENZ,CLA 250 4MATIC FFV,198
MERCEDES-BENZ,E 400 4MATIC COUPE,239
MERCEDES-BENZ,GLE 350d 4MATIC,246
MERCEDES-BENZ,GLE 350d 4MATIC COUPE,253
MERCEDES-BENZ,GLE 400 4MATIC,282
MERCEDES-BENZ,GLE 450 AMG SPORT 4MATIC COUPE,281
MERCEDES-BENZ,GLE 550 4MATIC,335
MERCEDES-BENZ,MAYBACH S 600,359
MERCEDES-BENZ,METRIS CARGO,233
MERCEDES-BENZ,METRIS PASSENGER,248
MERCEDES-BENZ,S 400 4MATIC SWB,253
MERCEDES-BENZ,SLK 300,199
MITSUBISHI,LANCER 4WD,210
NISSAN,ALTIMA 3.5,212
NISSAN,ALTIMA SR,181
PORSCHE,911 GT3RS,334
PORSCHE,BOXSTER SPYDER,272
PORSCHE,CAYMAN GT4,277
SCION,iM,173
TOYOTA,RAV4 HYBRID AWD,169
TOYOTA,RAV4 LIMITED/SE AWD,220
TOYOTA,TACOMA 4WD D-CAB OFF-ROAD,300
TOYOTA,YARIS (SIL),157
TOYOTA,YARIS HATCHBACK,170
VOLKSWAGEN,BEETLE DUNE,203
VOLKSWAGEN,GOLF R,216
VOLVO,S60 CC T5 AWD,239
VOLVO,S60 INSCRIPTION,193
VOLVO,S60 INSCRIPTION T5 AWD,233
VOLVO,S60 T5,193
VOLVO,S60 T6,218
VOLVO,S60 3.0T AWD,259
VOLVO,S60 POLESTAR,259
VOLVO,V60 CC T5 AWD,239
VOLVO,V60 3.0T AWD,259
VOLVO,V60 POLESTAR,259
VOLVO,XC60 T6,226
VOLVO,XC60 3.0T AWD,276
VOLVO,XC70 T5 AWD,254
VOLVO,XC90 T5,232
VOLVO,XC90 T5 AWD,239
VOLVO,XC90 T6 AWD,247
ACURA,MDX HYBRID AWD,210
ACURA,NSX,261
ALFA ROMEO,4C SPIDER,197
ALFA ROMEO,GIULIA,205
ALFA ROMEO,GIULIA AWD,217
ALFA ROMEO,GIULIA QUADRIFOGLIO,280
ASTON MARTIN,DB11 V12,322
AUDI,A4 ULTRA,177
BENTLEY,BENTAYGA,370
BENTLEY,MULSANNE EWB,430
BMW,230i CABRIOLET,207
BMW,230i COUPE,197
BMW,230i xDRIVE CABRIOLET,213
BMW,230i xDRIVE COUPE,210
BMW,330i xDRIVE,213
BMW,330i xDRIVE GRAN TURISMO,213
BMW,330i xDRIVE TOURING,213
BMW,340i xDRIVE GRAN TURISMO,238
BMW,430i xDRIVE CABRIOLET,211
BMW,430i xDRIVE COUPE,213
BMW,430i xDRIVE GRAN COUPE,213
BMW,440i COUPE,224
BMW,440i xDRIVE CABRIOLET,238
BMW,440i xDRIVE COUPE,228
BMW,440i xDRIVE GRAN COUPE,228
BMW,530i xDRIVE,213
BMW,540i xDRIVE,228
BMW,ALPINA B7 xDRIVE,292
BMW,M240i CABRIOLET,224
BMW,M240i COUPE,224
BMW,M240i xDRIVE CABRIOLET,228
BMW,M240i xDRIVE COUPE,228
BMW,M760i xDRIVE,355
BUICK,ENCORE (LUV Engine),194
BUICK,ENCORE (LE2 Engine),185
BUICK,ENCORE AWD (LUV Engine),208
BUICK,ENCORE AWD (LE2 Engine),196
CADILLAC,XT5,245
CADILLAC,XT5 AWD,260
CHEVROLET,COLORADO ZR2 4WD,315
CHEVROLET,CRUZE HATCHBACK,172
CHEVROLET,CRUZE HATCHBACK PREMIER,176
CHRYSLER,PACIFICA,257
CHRYSLER,PACIFICA (Stop-Start),249
DODGE,CHALLENGER GT,258
DODGE,VIPER,387
FIAT,124 SPIDER,187
FORD,ESCAPE FFV,229
FORD,F-150 (LT Tire Pkg),263
FORD,F-150 4X4 (LT Tire Pkg),293
FORD,F-150 FFV 4X4 (LT Tire Pkg),330
FORD,FOCUS (Start/Stop),176
FORD,GT,406
FORD,MUSTANG (Performance Pkg),239
GENESIS,G80 AWD,286
GENESIS,G90 AWD,279
HONDA,CIVIC HATCHBACK,162
HYUNDAI,IONIQ,103
HYUNDAI,IONIQ BLUE,96
HYUNDAI,SONATA HYBRID SE,137
INFINITI,Q60S RED SPORT AWD,259
INFINITI,QX30,200
INFINITI,QX30 AWD,221
JAGUAR,F-PACE 35t,277
JAGUAR,F-TYPE R CONVERTIBLE AWD,311
JAGUAR,F-TYPE R COUPE AWD,311
JAGUAR,XE 20d AWD,186
JAGUAR,XE 35t AWD,238
JAGUAR,XF 20d AWD,186
JAGUAR,XF 35t AWD,243
JAGUAR,XJL PORTFOLIO 3.0 AWD,280
JAGUAR,XJR  LWB,313
JEEP,CHEROKEE 4X4 ACTIVE DRIVE I,235
JEEP,CHEROKEE 4X4 ACTIVE DRIVE LOCK,256
JEEP,GRAND CHEROKEE SRT8,368
JEEP,NEW COMPASS,218
JEEP,NEW COMPASS 4X4,222
KIA,FORTE (MPI),170
KIA,FORTE (GDI),198
KIA,NIRO,114
KIA,NIRO FE,110
KIA,NIRO TOURING,129
KIA,OPTIMA FE,190
KIA,OPTIMA TURBO,224
KIA,SORENTO AWD FE,270
KIA,SOUL TURBO,199
LAMBORGHINI,AVENTADOR COUPE LP 740,461
LAMBORGHINI,AVENTADOR ROADSTER LP 740,461
LAND ROVER,RANGE ROVER EVOQUE CONVERTIBLE,243
LINCOLN,CONTINENTAL AWD,281
LINCOLN,MKC AWD (Start/Stop),254
MASERATI,LEVANTE,340
MASERATI,LEVANTE S,346
MERCEDES-BENZ,AMG C 63 CABRIOLET,291
MERCEDES-BENZ,AMG C 63 COUPE,285
MERCEDES-BENZ,AMG C 63 S CABRIOLET,291
MERCEDES-BENZ,AMG C 63 S COUPE,285
MERCEDES-BENZ,AMG GLA 45 4MATIC,233
MERCEDES-BENZ,AMG GLC 43 4MATIC COUPE,353
MERCEDES-BENZ,AMG GLE 43 4MATIC,281
MERCEDES-BENZ,AMG GLE 43 4MATIC COUPE,281
MERCEDES-BENZ,AMG GLE 63 S 4MATIC COUPE,363
MERCEDES-BENZ,AMG GLS 63,369
MERCEDES-BENZ,AMG GT COUPE,303
MERCEDES-BENZ,AMG GT S COUPE,303
MERCEDES-BENZ,AMG S 63 4MATIC,313
MERCEDES-BENZ,AMG S 63 CABRIOLET,322
MERCEDES-BENZ,AMG S 65 CABRIOLET,348
MERCEDES-BENZ,AMG SLC 43,234
MERCEDES-BENZ,C 300 4MATIC CABRIOLET,222
MERCEDES-BENZ,C 300 4MATIC COUPE,218
MERCEDES-BENZ,GLC 300 4MATIC,233
MERCEDES-BENZ,GLS 450 4MATIC,306
MERCEDES-BENZ,GLS 550 4MATIC,347
MERCEDES-BENZ,S 550 4MATIC CABRIOLET,276
MERCEDES-BENZ,SL 450,237
MERCEDES-BENZ,SLC 300,200
MINI,COOPER CLUBMAN ALL4,213
MINI,COOPER COUNTRYMAN ALL4,215
MINI,COOPER S CLUBMAN ALL4,210
MINI,COOPER S COUNTRYMAN  ALL4,213
MINI,JOHN COOPER WORKS 3 DOOR,196
MINI,JOHN COOPER WORKS CLUBMAN ALL4,210
MITSUBISHI,MIRAGE G4,149
NISSAN,QASHQAI,191
NISSAN,QASHQAI AWD,197
NISSAN,SENTRA (Turbo),193
NISSAN,SENTRA NISMO,205
NISSAN,TITAN 4WD PRO-4X,333
PORSCHE,CAYENNE PLATINUM,281
PORSCHE,MACAN,248
PORSCHE,MACAN GTS,287
ROLLS-ROYCE,DAWN,390
SUBARU,CROSSTREK AWD,193
SUBARU,IMPREZA 4-DOOR AWD,174
SUBARU,IMPREZA 5-DOOR AWD,176
SUBARU,WRX AWD,255
TOYOTA,86,204
TOYOTA,COROLLA iM,176
TOYOTA,HIGHLANDER AWD (Start/Stop System),247
TOYOTA,HIGHLANDER AWD LE,242
VOLKSWAGEN,GOLF ALLTRACK,220
VOLKSWAGEN,GOLF SPORTWAGEN,192
VOLKSWAGEN,GOLF SPORTWAGEN 4MOTION,220
VOLVO,S60 INSCRIPTION T5,198
VOLVO,S90 T5,204
VOLVO,S90 T6 AWD,219
VOLVO,V90 T5,204
VOLVO,V90 T6 AWD,219
VOLVO,V90 CC T6 AWD,221
ACURA,TLX A-SPEC,209
ACURA,TLX SH-AWD A-SPEC,240
ALFA ROMEO,4C COUPE,197
ALFA ROMEO,STELVIO AWD,226
ALFA ROMEO,STELVIO QUADRIFOGLIO,292
ASTON MARTIN,DB11 V8,271
AUDI,A5 SPORTBACK QUATTRO,203
AUDI,R8 QUATTRO,338
AUDI,RS 3,248
AUDI,S5 SPORTBACK,232
AUDI,TT RS,245
AUDI,TTS COUPE,222
BENTLEY,CONTINENTAL SUPERSPORTS,389
BMW,640i xDRIVE GRAN TURISMO,241
BMW,750i xDRIVE SWB,283
BMW,M550i xDRIVE,283
BMW,X2 xDRIVE28i,222
BMW,X3 xDRIVE30i,223
BMW,X3 M40i,241
BUGATTI,CHIRON,522
BUICK,ENCORE (SIDI with Stop/Start),185
BUICK,ENCORE AWD (SIDI with Stop/Start),196
CHEVROLET,CRUZE HATCHBACK DIESEL,178
CHEVROLET,SILVERADO eASSIST,278
DODGE,CHALLENGER GT AWD,258
DODGE,CHALLENGER GT AWD FFV,258
DODGE,CHALLENGER SRT DEMON,339
DODGE,DURANGO AWD SRT,363
FIAT,500,202
FIAT,500 ABARTH,202
FORD,ECOSPORT,195
FORD,ECOSPORT AWD,217
FORD,F-150 FFV (LT Tire Pkg),263
FORD,F-150 4X4 XL/XLT,266
FORD,F-150 RAPTOR 4WD,339
GMC,SIERRA eASSIST,278
HONDA,ACCORD SPORT/TOURING,211
HONDA,CIVIC COUPE Si,173
HONDA,CIVIC HATCHBACK SPORT,170
HONDA,CIVIC SEDAN Si,173
HONDA,CIVIC TYPE R,224
HONDA,ODYSSEY TOURING,247
HYUNDAI,KONA,186
HYUNDAI,KONA AWD,201
HYUNDAI,SANTA FE SPORT ULTIMATE AWD,264
INFINITI,Q50 AWD RED SPORT,260
INFINITI,Q60 AWD RED SPORT,259
JAGUAR,F-PACE 20d,218
JAGUAR,F-PACE 25t,227
JAGUAR,F-TYPE CONVERTIBLE R-DYNAMIC,253
JAGUAR,F-TYPE CONVERTIBLE R-DYNAMIC AWD,265
JAGUAR,F-TYPE COUPE R-DYNAMIC,253
JAGUAR,F-TYPE COUPE R-DYNAMIC AWD,265
JAGUAR,XE 25t AWD,200
JAGUAR,XF 25t AWD,207
JAGUAR,XJ R-SPORT AWD,276
JAGUAR,XJL PORTFOLIO AWD,280
JEEP,CHEROKEE 4X4 ACTIVE DRIVE I FFV,235
JEEP,GRAND CHEROKEE 4X4 SRT,368
JEEP,GRAND CHEROKEE 4X4 TRACKHAWK,413
JEEP,NEW WRANGLER 4X4,233
JEEP,NEW WRANGLER UNLIMITED 4X4,245
JEEP,WRANGLER JK 4X4,299
JEEP,WRANGLER JK UNLIMITED 4X4,313
KIA,STINGER AWD,265
LAMBORGHINI,AVENTADOR S COUPE,454
LAMBORGHINI,AVENTADOR S ROADSTER,464
LAMBORGHINI,HURACAN AWD,349
LAMBORGHINI,HURACAN SPYDER AWD,350
LAND ROVER,RANGE ROVER VELAR,229
LEXUS,IS 300,214
LEXUS,LC 500,286
LEXUS,LC 500h,187
LEXUS,LS 500,240
LEXUS,LS 500 AWD,259
LEXUS,LS 500h,195
LEXUS,LS 500h AWD,211
LEXUS,NX 300 AWD,226
LEXUS,NX 300 AWD F SPORT,232
LEXUS,RX 350 L AWD,268
MAZDA,CX-5 ,206
MAZDA,CX-5 (Cylinder Deactivation),201
MAZDA,CX-5 4WD (Cylinder Deactivation),208
MAZDA,MAZDA6 TURBO,208
MERCEDES-BENZ,AMG C 43 4MATIC,244
MERCEDES-BENZ,AMG C 43 4MATIC CABRIOLET,256
MERCEDES-BENZ,AMG C 43 4MATIC COUPE,245
MERCEDES-BENZ,AMG CLA 45 4MATIC,217
MERCEDES-BENZ,AMG E 43 4MATIC,258
MERCEDES-BENZ,AMG GLC 43 4MATIC,277
MERCEDES-BENZ,AMG GLS 63 4MATIC,367
MERCEDES-BENZ,AMG GT ROADSTER,304
MERCEDES-BENZ,AMG GT C COUPE,322
MERCEDES-BENZ,AMG GT C ROADSTER,322
MERCEDES-BENZ,AMG GT R COUPE,324
MERCEDES-BENZ,AMG S 63 4MATIC CABRIOLET,306
MERCEDES-BENZ,AMG S 63 4MATIC COUPE,271
MERCEDES-BENZ,C 300 4MATIC WAGON,222
MERCEDES-BENZ,E 400 4MATIC CABRIOLET,251
MERCEDES-BENZ,GLC 300 4MATIC COUPE,235
MERCEDES-BENZ,MAYBACH S 650,355
MERCEDES-BENZ,S 450 4MATIC SWB,255
MERCEDES-BENZ,S 560 CABRIOLET,276
MERCEDES-BENZ,S 560 4MATIC,265
MERCEDES-BENZ,S 560 4MATIC SWB,261
MERCEDES-BENZ,S 560 4MATIC COUPE,269
MITSUBISHI,ECLIPSE CROSS,208
MITSUBISHI,ECLIPSE CROSS 4WD,216
NISSAN,KICKS,169
PORSCHE,911 TARGA 4 GTS,251
PORSCHE,911 TURBO S EXCLUSIVE,285
PORSCHE,MACAN TURBO KIT,286
PORSCHE,PANAMERA 4 EXECUTIVE,235
PORSCHE,PANAMERA 4 ST,242
PORSCHE,PANAMERA 4S ST,249
PORSCHE,PANAMERA TURBO ST,279
SUBARU,BRZ tS,239
SUBARU,WRX STI AWD,291
SUBARU,WRX STI AWD TYPE RA,296
TOYOTA,CAMRY LE/SE,172
TOYOTA,CAMRY XLE/XSE,173
TOYOTA,CAMRY XSE,215
TOYOTA,C-HR,189
VOLKSWAGEN,ATLAS,233
VOLKSWAGEN,ATLAS 4MOTION,282
VOLKSWAGEN,BEETLE DUNE CONVERTIBLE,189
VOLVO,S90 T5 AWD,206
VOLVO,V90 CC T5 AWD,214
ACURA,MDX SH-AWD A-SPEC,258
ACURA,RDX AWD A-SPEC,242
ALFA ROMEO,Stelvio,218
ALFA ROMEO,Stelvio AWD Quadrifoglio,292
ASTON MARTIN,DB11 AMR,312
ASTON MARTIN,DBS Superleggera,324
ASTON MARTIN,Rapide AMR,332
ASTON MARTIN,Vanquish Zagato,346
ASTON MARTIN,Vantage V8,264
AUDI,Q8,294
AUDI,RS 5 Coupe,262
AUDI,RS 5 Sportback,268
AUDI,TT RS Coupe,241
BMW,M2 Competition,294
BMW,M240i Coupe M Performance,227
BMW,M240i xDrive Coupe M Performance,229
BMW,M4 Cabriolet Competition,299
BMW,M4 Coupe Competition,294
BMW,M4 CS,294
BMW,M5 Competition,324
BMW,M760Li xDrive,355
BMW,M850i xDrive Cabriolet,270
BMW,M850i xDrive Coupe,269
BMW,X4 xDrive30i,223
BMW,X5 xDrive40i,245
BMW,X7 xDrive40i,254
BMW,X7 xDrive50i,294
CADILLAC,XT4,209
CADILLAC,XT4 AWD,227
CHEVROLET,Blazer,232
CHEVROLET,Blazer AWD,265
CHEVROLET,Corvette ZR1,381
CHEVROLET,Silverado 4WD Trail Boss,347
CHEVROLET,Silverado LD,317
CHEVROLET,Silverado LD 4WD,325
DODGE,Challenger SRT Hellcat Redeye,339
FORD,F-150 4X4 Limited,296
FORD,Mustang Bullitt,311
FORD,Ranger 4WD,256
GENESIS,G70,255
GENESIS,G70 AWD,241
GMC,Sierra 4WD AT4,320
GMC,Sierra LTD,317
GMC,Sierra LTD 4WD,325
HONDA,Insight EX,114
HONDA,Insight Touring,114
HONDA,Passport AWD,265
HYUNDAI,Santa Fe XL,268
HYUNDAI,Santa Fe XL AWD,276
HYUNDAI,Santa Fe XL Ultimate AWD,297
HYUNDAI,Sonata SE,190
HYUNDAI,Veloster N,226
JAGUAR,E-PACE P250,231
JEEP,Grand Cherokee 4X4 EcoDiesel,268
JEEP,Renegade 4X4 Trailhawk,230
JEEP,Wrangler JL 4X4,233
JEEP,Wrangler JL Unlimited 4X4,245
LAMBORGHINI,Huracan Coupe,366
LAMBORGHINI,Huracan Coupe AWD,370
LAMBORGHINI,Huracan Performante Coupe,370
LAMBORGHINI,Huracan Performante Spyder,370
LAMBORGHINI,Urus,384
LAND ROVER,Discovery,311
LAND ROVER,Discovery TD6 Diesel,279
LAND ROVER,Range Rover 3.0,291
LAND ROVER,Range Rover 5.0 Supercharged,305
LAND ROVER,Range Rover SVAutobiography LWB,365
LAND ROVER,Range Rover Sport 3.0,291
LAND ROVER,Range Rover Velar D180,229
LAND ROVER,Range Rover Velar P300,248
