Make,Model,CO2 Emissions(g/km)
CHRYSLER,300 FFV,237
CHRYSLER,300 SRT (MDS),317
CHRYSLER,TOWN & COUNTRY FFV,276
DODGE,AVENGER,225
DODGE,AVENGER FFV,242
DODGE,CHALLENGER,258
DODGE,CHALLENGER (MDS),294
DODGE,CHALLENGER SRT,320
DODGE,CHALLENGER SRT (MDS),317
DODGE,CHARGER,258
DODGE,CHARGER (MDS),294
DODGE,CHARGER AWD,251
DODGE,CHARGER AWD (MDS),308
DODGE,CHARGER AWD FFV,251
DODGE,CHARGER FFV,258
DODGE,CHARGER SRT (MDS),317
DODGE,DART,186
DODGE,DART FFV,198
DODGE,DART GT,212
DODGE,DART TURBO AERO,168
DODGE,DURANGO AWD (MDS),331
DODGE,DURANGO AWD FFV,278
DODGE,GRAND CARAVAN FFV,271
DODGE,JOURNEY,255
DODGE,JOURNEY AWD,285
DODGE,JOURNEY FFV,276
FIAT,500 ABARTH CABRIO,179
FIAT,500 ABARTH HATCHBACK,179
FIAT,500 CABRIO,182
FIAT,500 CABRIO TURBO,179
FIAT,500 HATCHBACK,182
FIAT,500 HATCHBACK TURBO,179
FIAT,500L TURBO,200
FORD,C-MAX HYBRID,138
FORD,E150 VAN FFV,373
FORD,E150 WAGON FFV,386
FORD,E350 WAGON,488
FORD,E350 WAGON FFV,421
FORD,EDGE,225
FORD,EDGE AWD,264
FORD,ESCAPE,209
FORD,ESCAPE AWD,214
FORD,EXPEDITION 4X4 FFV,368
FORD,EXPLORER,235
FORD,EXPLORER AWD,299
FORD,EXPLORER FFV,274
FORD,EXPLORER FFV AWD,288
FORD,F-150,292
FORD,F-150 4X4,317
FORD,F-150 FFV,283
FORD,F-150 FFV 4X4,308
FORD,F-150 RAPTOR 4X4,414
FORD,FIESTA,175
FORD,FIESTA SFE,152
FORD,FIESTA ST,184
FORD,FLEX,264
FORD,FLEX AWD,278
FORD,FLEX AWD (EcoBoost),294
FORD,FOCUS,205
FORD,FOCUS FFV,177
FORD,FOCUS SFE FFV,166
FORD,FUSION,196
FORD,FUSION (Start/Stop),186
FORD,FUSION AWD,216
FORD,FUSION HYBRID,126
FORD,MUSTANG,235
FORD,MUSTANG CONVERTIBLE,244
FORD,TAURUS,209
FORD,TAURUS AWD,271
FORD,TAURUS FFV,237
FORD,TAURUS FFV AWD,258
FORD,TRANSIT CONNECT,218
FORD,TRANSIT CONNECT TAXI,232
FORD,TRANSIT CONNECT WAGON,239
GMC,ACADIA,283
GMC,ACADIA AWD,297
GMC,SAVANA 1500 CARGO,347
GMC,SAVANA 1500 CARGO AWD,380
GMC,SAVANA 1500 CARGO CONV,380
GMC,SAVANA 1500 CARGO CONV AWD,380
GMC,SAVANA 1500 PASSENGER,380
GMC,SAVANA 1500 PASSENGER AWD,380
GMC,SAVANA 2500 PASSENGER,414
GMC,SAVANA 3500 PASSENGER,419
GMC,SIERRA,271
GMC,SIERRA 4WD,290
GMC,TERRAIN,209
GMC,TERRAIN AWD,230
GMC,YUKON,317
GMC,YUKON 4WD,317
GMC,YUKON DENALI AWD,338
GMC,YUKON DENALI XL AWD,377
GMC,YUKON XL,317
GMC,YUKON XL 4WD,317
HONDA,ACCORD,182
HONDA,ACCORD HYBRID,110
HONDA,CIVIC,161
HONDA,CROSSTOUR AWD,246
HONDA,CR-V,209
HONDA,CR-V AWD,216
HONDA,CR-Z,145
HONDA,FIT,172
HONDA,ODYSSEY,244
HONDA,PILOT,265
HONDA,PILOT AWD,276
HONDA,RIDGELINE AWD,308
HYUNDAI,ACCENT,177
HYUNDAI,ELANTRA GT,198
HYUNDAI,EQUUS,304
HYUNDAI,GENESIS,255
HYUNDAI,SANTA FE,258
HYUNDAI,SANTA FE 4WD,267
HYUNDAI,SANTA FE SPORT,237
HYUNDAI,SANTA FE SPORT 4WD,264
HYUNDAI,SONATA,221
HYUNDAI,SONATA HYBRID,143
HYUNDAI,SONATA HYBRID LIMITED,145
HYUNDAI,TUCSON,214
HYUNDAI,TUCSON 4WD,242
HYUNDAI,VELOSTER,177
HYUNDAI,VELOSTER TURBO,202
INFINITI,Q50,235
INFINITI,Q50 AWD,248
INFINITI,Q50 HYBRID,172
INFINITI,Q50 HYBRID AWD,189
INFINITI,Q60 AWD COUPE,265
INFINITI,Q60 CONVERTIBLE,269
INFINITI,Q60 COUPE,255
INFINITI,Q70,253
INFINITI,Q70 AWD,267
INFINITI,Q70 HYBRID,175
INFINITI,QX50 AWD,271
