Make,Model,CO2 Emissions(lbs/mile)
CHEVROLET,EXPRESS 1500 PASSENGER AWD,0.520660351
CHEVROLET,EXPRESS 2500 PASSENGER,0.567245751
CHEVROLET,EXPRESS 3500 PASSENGER,0.574096545
CHEVROLET,IMPALA,0.302805099
CHEVROLET,IMPALA ECO,0.274031764
CHEVROLET,MALIBU,0.31239621
CHEVROLET,ORLANDO,0.334318752
CHEVROLET,SILVERADO,0.37131304
CHEVROLET,SILVERADO 4WD,0.397346057
CHEVROLET,SONIC,0.252109222
CHEVROLET,SONIC RS,0.261700334
CHEVROLET,SONIC 5,0.252109222
CHEVROLET,SONIC 5 RS,0.261700334
CHEVROLET,SPARK,0.217855252
CHEVROLET,SUBURBAN,0.434340345
CHEVROLET,SUBURBAN 4WD,0.434340345
CHEVROLET,TAHOE,0.434340345
CHEVROLET,TAHOE 4WD,0.434340345
CHEVROLET,TRAVERSE,0.387754945
CHEVROLET,TRAVERSE AWD,0.397346057
CHEVROLET,TRAX,0.264440652
CHEVROLET,TRAX AWD,0.283622875
CHRYSLER,300,0.32472764
CHRYSLER,200 CONVERTIBLE,0.317876846
CHRYSLER,200 CONVERTIBLE FFV,0.331578434
CHRYSLER,200 SEDAN,0.308285734
CHRYSLER,200 SEDAN FFV,0.331578434
CHRYSLER,300 (MDS),0.402826692
CHRYSLER,300 AWD,0.343909863
CHRYSLER,300 AWD (MDS),0.422008916
CHRYSLER,300 AWD FFV,0.343909863
CHRYSLER,300 FFV,0.32472764
CHRYSLER,300 SRT (MDS),0.434340345
CHRYSLER,TOWN & COUNTRY FFV,0.378163834
DODGE,AVENGER,0.308285734
DODGE,AVENGER FFV,0.331578434
DODGE,CHALLENGER,0.353500975
DODGE,CHALLENGER (MDS),0.402826692
DODGE,CHALLENGER SRT,0.438450822
DODGE,CHALLENGER SRT (MDS),0.434340345
DODGE,CHARGER,0.353500975
DODGE,CHARGER (MDS),0.402826692
DODGE,CHARGER AWD,0.343909863
DODGE,CHARGER AWD (MDS),0.422008916
DODGE,CHARGER AWD FFV,0.343909863
DODGE,CHARGER FFV,0.353500975
DODGE,CHARGER SRT (MDS),0.434340345
DODGE,DART,0.25484954
DODGE,DART FFV,0.271291446
DODGE,DART GT,0.290473669
DODGE,DART TURBO AERO,0.230186681
DODGE,DURANGO AWD (MDS),0.453522569
DODGE,DURANGO AWD FFV,0.380904151
DODGE,GRAND CARAVAN FFV,0.37131304
DODGE,JOURNEY,0.349390499
DODGE,JOURNEY AWD,0.390495263
DODGE,JOURNEY FFV,0.378163834
FIAT,500 ABARTH CABRIO,0.245258428
FIAT,500 ABARTH HATCHBACK,0.245258428
FIAT,500 CABRIO,0.249368905
FIAT,500 CABRIO TURBO,0.245258428
FIAT,500 HATCHBACK,0.249368905
FIAT,500 HATCHBACK TURBO,0.245258428
FIAT,500L TURBO,0.274031764
FORD,C-MAX HYBRID,0.189081917
FORD,E150 VAN FFV,0.511069239
FORD,E150 WAGON FFV,0.528881304
FORD,E350 WAGON,0.668637503
FORD,E350 WAGON FFV,0.576836862
FORD,EDGE,0.308285734
FORD,EDGE AWD,0.361721928
FORD,ESCAPE,0.286363193
FORD,ESCAPE AWD,0.293213987
FORD,EXPEDITION 4X4 FFV,0.504218445
FORD,EXPLORER,0.321987322
FORD,EXPLORER AWD,0.409677487
FORD,EXPLORER FFV,0.375423516
FORD,EXPLORER FFV AWD,0.39460574
FORD,F-150,0.400086375
FORD,F-150 4X4,0.434340345
FORD,F-150 FFV,0.387754945
FORD,F-150 FFV 4X4,0.422008916
FORD,F-150 RAPTOR 4X4,0.567245751
FORD,FIESTA,0.239777793
FORD,FIESTA SFE,0.20826414
FORD,FIESTA ST,0.252109222
FORD,FLEX,0.361721928
FORD,FLEX AWD,0.380904151
FORD,FLEX AWD (EcoBoost),0.402826692
FORD,FOCUS,0.280882558
FORD,FOCUS FFV,0.242518111
FORD,FOCUS SFE FFV,0.227446364
FORD,FUSION,0.268551128
FORD,FUSION (Start/Stop),0.25484954
FORD,FUSION AWD,0.295954305
FORD,FUSION HYBRID,0.172640011
FORD,MUSTANG,0.321987322
FORD,MUSTANG CONVERTIBLE,0.334318752
FORD,TAURUS,0.286363193
FORD,TAURUS AWD,0.37131304
FORD,TAURUS FFV,0.32472764
FORD,TAURUS FFV AWD,0.353500975
FORD,TRANSIT CONNECT,0.298694622
FORD,TRANSIT CONNECT TAXI,0.317876846
FORD,TRANSIT CONNECT WAGON,0.327467957
GMC,ACADIA,0.387754945
GMC,ACADIA AWD,0.406937169
GMC,SAVANA 1500 CARGO,0.47544511
GMC,SAVANA 1500 CARGO AWD,0.520660351
GMC,SAVANA 1500 CARGO CONV,0.520660351
GMC,SAVANA 1500 CARGO CONV AWD,0.520660351
GMC,SAVANA 1500 PASSENGER,0.520660351
GMC,SAVANA 1500 PASSENGER AWD,0.520660351
GMC,SAVANA 2500 PASSENGER,0.567245751
GMC,SAVANA 3500 PASSENGER,0.574096545
GMC,SIERRA,0.37131304
GMC,SIERRA 4WD,0.397346057
GMC,TERRAIN,0.286363193
GMC,TERRAIN AWD,0.315136528
GMC,YUKON,0.434340345
GMC,YUKON 4WD,0.434340345
GMC,YUKON DENALI AWD,0.46311368
GMC,YUKON DENALI XL AWD,0.516549874
GMC,YUKON XL,0.434340345
GMC,YUKON XL 4WD,0.434340345
HONDA,ACCORD,0.249368905
HONDA,ACCORD HYBRID,0.15071747
HONDA,CIVIC,0.22059557
HONDA,CROSSTOUR AWD,0.337059069
HONDA,CR-V,0.286363193
HONDA,CR-V AWD,0.295954305
HONDA,CR-Z,0.198673029
HONDA,FIT,0.235667317
HONDA,ODYSSEY,0.334318752
HONDA,PILOT,0.363092087
HONDA,PILOT AWD,0.378163834
HONDA,RIDGELINE AWD,0.422008916
HYUNDAI,ACCENT,0.242518111
HYUNDAI,ELANTRA GT,0.271291446
HYUNDAI,EQUUS,0.416528281
HYUNDAI,GENESIS,0.349390499
HYUNDAI,SANTA FE,0.353500975
HYUNDAI,SANTA FE 4WD,0.365832404
HYUNDAI,SANTA FE SPORT,0.32472764
HYUNDAI,SANTA FE SPORT 4WD,0.361721928
HYUNDAI,SONATA,0.302805099
HYUNDAI,SONATA HYBRID,0.195932711
HYUNDAI,SONATA HYBRID LIMITED,0.198673029
HYUNDAI,TUCSON,0.293213987
HYUNDAI,TUCSON 4WD,0.331578434
HYUNDAI,VELOSTER,0.242518111
HYUNDAI,VELOSTER TURBO,0.276772081
INFINITI,Q50,0.321987322
INFINITI,Q50 AWD,0.339799387
INFINITI,Q50 HYBRID,0.235667317
INFINITI,Q50 HYBRID AWD,0.258960017
INFINITI,Q60 AWD COUPE,0.363092087
INFINITI,Q60 CONVERTIBLE,0.368572722
INFINITI,Q60 COUPE,0.349390499
INFINITI,Q70,0.346650181
INFINITI,Q70 AWD,0.365832404
INFINITI,Q70 HYBRID,0.239777793
INFINITI,QX50 AWD,0.37131304
INFINITI,QX60,0.334318752
INFINITI,QX60 AWD,0.346650181
INFINITI,QX60 HYBRID AWD,0.268551128
INFINITI,QX70 AWD,0.402826692
INFINITI,QX80 4WD,0.472704792
JAGUAR,F-TYPE CONVERTIBLE,0.32472764
JAGUAR,F-TYPE S CONVERTIBLE,0.334318752
JAGUAR,F-TYPE V8 S CONVERTIBLE,0.402826692
JAGUAR,XF,0.331578434
JAGUAR,XF 3.0L AWD,0.385014628
JAGUAR,XFR,0.419268598
JAGUAR,XFR-S,0.419268598
JAGUAR,XJ AWD,0.390495263
JAGUAR,XJ SUPERCHARGED,0.419268598
JAGUAR,XJL AWD PORTFOLIO,0.390495263
JAGUAR,XJL SUPERCHARGED,0.419268598
JAGUAR,XJR,0.419268598
JAGUAR,XJR LWB,0.419268598
JAGUAR,XK CONVERTIBLE,0.412417804
JAGUAR,XK COUPE,0.397346057
JAGUAR,XKR CONVERTIBLE,0.431600028
JAGUAR,XKR COUPE,0.424749234
JAGUAR,XKR-S CONVERTIBLE,0.431600028
JAGUAR,XKR-S COUPE,0.424749234
JEEP,CHEROKEE,0.298694622
JEEP,CHEROKEE 4X4,0.315136528
JEEP,CHEROKEE 4X4 ACTIVE DRIVE II,0.317876846
JEEP,CHEROKEE TRAILHAWK 4X4,0.343909863
JEEP,COMPASS,0.31239621
JEEP,COMPASS 4X4,0.321987322
JEEP,COMPASS 4X4 TRAIL RATED,0.349390499
JEEP,GRAND CHEROKEE 4X4 (MDS),0.465853998
JEEP,GRAND CHEROKEE 4X4 DIESEL,0.365832404
JEEP,GRAND CHEROKEE 4X4 FFV,0.380904151
JEEP,GRAND CHEROKEE SRT 4X4 (MDS),0.497367651
JEEP,PATRIOT,0.31239621
JEEP,PATRIOT 4X4,0.321987322
JEEP,PATRIOT 4X4 TRAIL RATED,0.349390499
JEEP,WRANGLER 4X4 (2-DOOR),0.402826692
JEEP,WRANGLER UNLIMITED 4X4 (4-DOOR),0.422008916
KIA,CADENZA,0.343909863
KIA,FORTE,0.261700334
KIA,FORTE 5,0.305545416
KIA,FORTE KOUP,0.295954305
KIA,OPTIMA,0.31239621
KIA,OPTIMA HYBRID,0.195932711
KIA,OPTIMA HYBRID EX,0.201413346
KIA,RIO,0.239777793
KIA,RIO ECO,0.239777793
KIA,RONDO,0.290473669
KIA,SEDONA,0.378163834
KIA,SORENTO,0.32472764
KIA,SORENTO 4WD,0.346650181
KIA,SOUL,0.280882558
KIA,SOUL ECO Dynamics,0.276772081
KIA,SPORTAGE,0.315136528
KIA,SPORTAGE AWD,0.35898161
LAMBORGHINI,AVENTADOR COUPE,0.576836862
LAMBORGHINI,GALLARDO COUPE,0.494627333
LAND ROVER,LR2,0.375423516
